mal_id,title,score,genre_list,studios,episodes,source,season,year,type,rating
64,Rozen Maiden,7.4,"['Action', 'Drama', 'Supernatural']",['Nomad'],12,Manga,Fall,2004,TV,PG-13 - Teens 13 or older
65,Rozen Maiden: Träumend,7.61,"['Action', 'Drama', 'Supernatural']",['Nomad'],12,Manga,Fall,2005,TV,PG-13 - Teens 13 or older
66,Azumanga Daiou The Animation,8.06,['Comedy'],['J.C.Staff'],26,4-koma manga,Spring,2002,TV,PG-13 - Teens 13 or older
67,Basilisk: Kouga Ninpou Chou,7.53,"['Action', 'Drama', 'Romance']",['Gonzo'],24,Manga,Spring,2005,TV,R - 17+ (violence & profanity)
68,Black Cat,7.31,"['Action', 'Adventure', 'Sci-Fi']",['Gonzo'],23,Manga,Fall,2005,TV,PG-13 - Teens 13 or older
69,Cluster Edge,6.31,"['Action', 'Fantasy', 'Sci-Fi']",['Sunrise'],25,Original,Fall,2005,TV,PG-13 - Teens 13 or older
71,Full Metal Panic!,7.59,"['Action', 'Comedy', 'Sci-Fi']",['Gonzo'],24,Light novel,Winter,2002,TV,R - 17+ (violence & profanity)
72,Full Metal Panic? Fumoffu,8.02,"['Action', 'Comedy']",['Kyoto Animation'],12,Light novel,Summer,2003,TV,PG-13 - Teens 13 or older
73,Full Metal Panic! The Second Raid,7.91,['Action'],['Kyoto Animation'],13,Light novel,Summer,2005,TV,R - 17+ (violence & profanity)
74,Gakuen Alice,7.64,['Comedy'],['Group TAC'],26,Manga,Fall,2004,TV,G - All Ages
75,Soukyuu no Fafner: Dead Aggressor,7.25,"['Action', 'Drama', 'Sci-Fi']",['Xebec'],25,Original,Summer,2004,TV,PG-13 - Teens 13 or older
76,Mahou Shoujo Lyrical Nanoha,7.41,"['Action', 'Comedy', 'Drama']",['Seven Arcs'],13,Original,Fall,2004,TV,PG-13 - Teens 13 or older
77,Mahou Shoujo Lyrical Nanoha A's,7.95,"['Action', 'Comedy', 'Drama']",['Seven Arcs'],13,Original,Fall,2005,TV,PG-13 - Teens 13 or older
79,Shuffle!,7.0,"['Comedy', 'Fantasy', 'Romance', 'Ecchi']",['asread.'],24,Visual novel,Summer,2005,TV,R+ - Mild Nudity
80,Kidou Senshi Gundam,7.77,"['Action', 'Drama', 'Sci-Fi']",['Sunrise'],43,Original,Spring,1979,TV,PG-13 - Teens 13 or older
81,Kidou Senshi Gundam: Dai 08 MS Shoutai,7.99,"['Action', 'Adventure', 'Drama', 'Romance', 'Sci-Fi']",['Sunrise'],12,Original,,1996,OVA,PG-13 - Teens 13 or older
82,Kidou Senshi Gundam 0080: Pocket no Naka no Sensou,8.0,"['Action', 'Drama', 'Sci-Fi']",['Sunrise'],6,Original,,1989,OVA,PG-13 - Teens 13 or older
83,Kidou Senshi Gundam: Dai 08 MS Shoutai - Miller's Report,6.74,"['Action', 'Drama', 'Romance', 'Sci-Fi']",['Sunrise'],1,Original,,1998,Movie,PG-13 - Teens 13 or older
84,Kidou Senshi Gundam 0083: Stardust Memory,7.21,"['Action', 'Adventure', 'Drama', 'Romance', 'Sci-Fi']",['Sunrise'],13,Original,,1991,OVA,PG-13 - Teens 13 or older
85,Kidou Senshi Zeta Gundam,7.89,"['Action', 'Drama', 'Romance', 'Sci-Fi']",['Sunrise'],50,Original,Spring,1985,TV,PG-13 - Teens 13 or older
86,Kidou Senshi Gundam ZZ,6.67,"['Action', 'Comedy', 'Drama', 'Sci-Fi']",['Sunrise'],47,Original,Spring,1986,TV,PG-13 - Teens 13 or older
87,Kidou Senshi Gundam: Gyakushuu no Char,7.68,"['Action', 'Drama', 'Sci-Fi']",['Sunrise'],1,Novel,,1988,Movie,PG-13 - Teens 13 or older
88,Kidou Senshi Gundam F91,6.59,"['Action', 'Drama', 'Sci-Fi']",['Sunrise'],1,Original,,1991,Movie,PG-13 - Teens 13 or older
89,Kidou Senshi Victory Gundam,6.71,"['Action', 'Drama', 'Sci-Fi']",['Sunrise'],51,Original,Spring,1993,TV,PG-13 - Teens 13 or older
90,Shin Kidou Senki Gundam Wing,7.66,"['Action', 'Drama', 'Sci-Fi']",['Sunrise'],49,Original,Spring,1995,TV,PG-13 - Teens 13 or older
91,Shin Kidou Senki Gundam Wing: Endless Waltz,7.73,"['Action', 'Award Winning', 'Drama', 'Sci-Fi']",['Sunrise'],3,Original,,1997,OVA,PG-13 - Teens 13 or older
92,Kidou Shinseiki Gundam X,7.34,"['Action', 'Adventure', 'Drama', 'Sci-Fi']",['Sunrise'],39,Original,Spring,1996,TV,PG-13 - Teens 13 or older
93,Kidou Senshi Gundam SEED,7.74,"['Action', 'Award Winning', 'Drama', 'Romance', 'Sci-Fi']",['Sunrise'],50,Original,Fall,2002,TV,R - 17+ (violence & profanity)
94,Kidou Senshi Gundam SEED Destiny,7.17,"['Action', 'Drama', 'Romance', 'Sci-Fi']",['Sunrise'],50,Original,Fall,2004,TV,R - 17+ (violence & profanity)
95,Turn A Gundam,7.79,"['Action', 'Adventure', 'Award Winning', 'Drama', 'Romance', 'Sci-Fi']",['Sunrise'],50,Original,Spring,1999,TV,PG-13 - Teens 13 or older
96,Kidou Butouden G Gundam,7.58,"['Action', 'Drama', 'Romance', 'Sci-Fi']",['Sunrise'],49,Original,Spring,1994,TV,PG-13 - Teens 13 or older
97,Last Exile,7.78,"['Action', 'Adventure', 'Sci-Fi']",['Gonzo'],26,Original,Spring,2003,TV,PG-13 - Teens 13 or older
98,Mai-HiME,7.39,"['Action', 'Fantasy', 'Girls Love']",['Sunrise'],26,Original,Fall,2004,TV,PG-13 - Teens 13 or older
99,Mai-Otome,7.27,"['Comedy', 'Drama', 'Fantasy']",['Sunrise'],26,Original,Fall,2005,TV,PG-13 - Teens 13 or older
100,Shin Shirayuki-hime Densetsu Prétear,7.15,"['Drama', 'Romance']",['HAL Film Maker'],13,Manga,Spring,2001,TV,PG-13 - Teens 13 or older
101,Air,7.27,"['Drama', 'Romance', 'Supernatural']",['Kyoto Animation'],12,Visual novel,Winter,2005,TV,PG-13 - Teens 13 or older
102,Aishiteruze Baby★★,7.43,"['Comedy', 'Drama', 'Romance']",['TMS Entertainment'],26,Manga,Spring,2004,TV,PG-13 - Teens 13 or older
103,Akazukin Chacha,7.41,"['Adventure', 'Comedy', 'Fantasy', 'Romance']",['Gallop'],74,Manga,Winter,1994,TV,G - All Ages
104,Ayashi no Ceres,7.17,"['Adventure', 'Drama', 'Horror', 'Romance', 'Supernatural']",['Studio Pierrot'],24,Manga,Spring,2000,TV,R - 17+ (violence & profanity)
105,Boys Be...,6.38,"['Comedy', 'Romance']",['HAL Film Maker'],13,Manga,Spring,2000,TV,PG-13 - Teens 13 or older
106,Hana yori Dango,7.57,"['Drama', 'Romance']",['Toei Animation'],51,Manga,Fall,1996,TV,PG-13 - Teens 13 or older
107,Ou Dorobou Jing,7.17,"['Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']",['Studio Deen'],13,Manga,Spring,2002,TV,PG-13 - Teens 13 or older
108,Ou Dorobou Jing in Seventh Heaven,7.23,"['Adventure', 'Comedy', 'Fantasy']",['Studio Deen'],3,Manga,,2004,OVA,PG-13 - Teens 13 or older
109,Bakuretsu Tenshi,6.77,"['Action', 'Adventure', 'Sci-Fi']",['Gonzo'],24,Original,Spring,2004,TV,PG-13 - Teens 13 or older
110,Chuuka Ichiban!,7.59,"['Action', 'Comedy', 'Drama', 'Gourmet']",['Nippon Animation'],52,Manga,Spring,1997,TV,PG-13 - Teens 13 or older
111,Corrector Yui,6.86,"['Adventure', 'Comedy', 'Sci-Fi']",['Nippon Animation'],52,Original,Spring,1999,TV,G - All Ages
112,Chou Henshin Cosprayers,4.82,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Sci-Fi', 'Ecchi']","['Imagin', 'Studio Live']",8,Original,Winter,2004,TV,PG-13 - Teens 13 or older
113,Uchuu no Stellvia,7.32,"['Action', 'Romance', 'Sci-Fi']",['Xebec'],26,Original,Spring,2003,TV,PG-13 - Teens 13 or older
114,Sakigake!! Cromartie Koukou,7.88,['Comedy'],['Production I.G'],26,Manga,Fall,2003,TV,PG-13 - Teens 13 or older
115,Ijigen no Sekai El-Hazard,6.77,"['Adventure', 'Comedy', 'Fantasy']",['AIC'],13,Original,Winter,1998,TV,PG-13 - Teens 13 or older
116,Shinpi no Sekai El-Hazard (TV),6.93,"['Adventure', 'Comedy', 'Fantasy', 'Romance']",['AIC'],26,Original,Fall,1995,TV,PG-13 - Teens 13 or older
117,Shinpi no Sekai El-Hazard,7.24,"['Adventure', 'Comedy', 'Fantasy', 'Romance']",['AIC'],7,Original,,1995,OVA,PG-13 - Teens 13 or older
118,Shinpi no Sekai El-Hazard Season 2,6.76,"['Adventure', 'Comedy', 'Fantasy']",['AIC'],4,Original,,1997,OVA,PG-13 - Teens 13 or older
119,Final Approach,6.5,"['Comedy', 'Drama', 'Romance']","['Trinet Entertainment', 'Zexcs']",13,Visual novel,Fall,2004,TV,PG-13 - Teens 13 or older
120,Fruits Basket,7.69,"['Drama', 'Romance', 'Supernatural']",['Studio Deen'],26,Manga,Summer,2001,TV,PG-13 - Teens 13 or older
121,Fullmetal Alchemist,8.11,"['Action', 'Adventure', 'Award Winning', 'Drama', 'Fantasy']",['Bones'],51,Manga,Fall,2003,TV,R - 17+ (violence & profanity)
122,Full Moon wo Sagashite,7.93,"['Comedy', 'Drama', 'Romance', 'Supernatural']",['Studio Deen'],52,Manga,Spring,2002,TV,PG-13 - Teens 13 or older
123,Fushigi Yuugi,7.6,"['Action', 'Adventure', 'Fantasy', 'Romance']",['Studio Pierrot'],52,Manga,Spring,1995,TV,PG-13 - Teens 13 or older
124,Fushigi Yuugi: Eikouden,6.79,"['Adventure', 'Drama', 'Fantasy', 'Romance']",['Studio Pierrot'],4,Manga,,2001,OVA,PG-13 - Teens 13 or older
125,Futakoi,6.41,"['Comedy', 'Romance']",['Telecom Animation Film'],13,Original,Fall,2004,TV,PG-13 - Teens 13 or older
126,Futakoi Alternative,6.83,"['Comedy', 'Drama', 'Romance']","['ufotable', 'feel.', 'Studio Flag']",13,Original,Spring,2005,TV,PG-13 - Teens 13 or older
127,Gate Keepers,6.9,"['Action', 'Comedy', 'Fantasy', 'Sci-Fi']",['Gonzo'],24,Game,Spring,2000,TV,PG-13 - Teens 13 or older
128,Gate Keepers 21,6.73,"['Action', 'Drama', 'Sci-Fi']",['Gonzo'],6,Game,,2002,OVA,PG-13 - Teens 13 or older
129,Gensoumaden Saiyuuki,7.53,"['Action', 'Adventure', 'Drama', 'Fantasy']",['Studio Pierrot'],50,Manga,Spring,2000,TV,R - 17+ (violence & profanity)
130,Saiyuuki Reload,7.36,"['Action', 'Adventure', 'Comedy', 'Drama', 'Supernatural']",['Studio Pierrot'],25,Manga,Fall,2003,TV,PG-13 - Teens 13 or older
131,Saiyuuki Reload Gunlock,7.37,"['Action', 'Adventure', 'Comedy', 'Drama', 'Supernatural']",['Studio Pierrot'],26,Manga,Spring,2004,TV,PG-13 - Teens 13 or older
132,GetBackers,7.57,"['Action', 'Mystery', 'Supernatural']",['Studio Deen'],49,Manga,Fall,2002,TV,PG-13 - Teens 13 or older
133,Green Green,6.12,"['Comedy', 'Romance', 'Ecchi']",['Studio Matrix'],12,Visual novel,Summer,2003,TV,R+ - Mild Nudity
134,Gunslinger Girl,7.38,"['Action', 'Drama', 'Sci-Fi', 'Suspense']",['Madhouse'],13,Manga,Fall,2003,TV,R - 17+ (violence & profanity)
135,Hikaru no Go,8.07,"['Comedy', 'Drama', 'Supernatural']",['Studio Pierrot'],75,Manga,Fall,2001,TV,PG-13 - Teens 13 or older
136,Hunter x Hunter,8.43,"['Action', 'Adventure', 'Fantasy']",['Nippon Animation'],62,Manga,Fall,1999,TV,PG-13 - Teens 13 or older
137,Hunter x Hunter: Original Video Animation,8.31,"['Action', 'Adventure', 'Fantasy']",['Nippon Animation'],8,Manga,,2002,OVA,PG-13 - Teens 13 or older
138,Hunter x Hunter: Greed Island,8.18,"['Action', 'Adventure', 'Fantasy']",['Nippon Animation'],8,Manga,,2003,OVA,PG-13 - Teens 13 or older
139,Hunter x Hunter: Greed Island Final,8.25,"['Action', 'Adventure', 'Fantasy']",['Nippon Animation'],14,Manga,,2004,OVA,PG-13 - Teens 13 or older
141,Jinki:Extend,6.04,['Sci-Fi'],['feel.'],12,Manga,Winter,2005,TV,R - 17+ (violence & profanity)
142,Kamikaze Kaitou Jeanne,7.46,"['Action', 'Drama', 'Romance', 'Supernatural']",['Toei Animation'],44,Manga,Winter,1999,TV,PG-13 - Teens 13 or older
143,Kannazuki no Miko,6.8,"['Action', 'Drama', 'Girls Love', 'Supernatural']",['TNK'],12,Manga,Fall,2004,TV,PG-13 - Teens 13 or older
144,Kanon,7.06,"['Drama', 'Romance', 'Supernatural']",['Toei Animation'],13,Visual novel,Winter,2002,TV,G - All Ages
145,Kareshi Kanojo no Jijou,7.6,"['Comedy', 'Drama', 'Romance']","['Gainax', 'J.C.Staff']",26,Manga,Fall,1998,TV,PG-13 - Teens 13 or older
