mal_id,title,score,genre_list,studios,episodes,source,season,year,type,rating
187,Initial D Third Stage,7.91,"['Action', 'Drama']",['Studio Deen'],1,Manga,,2001,Movie,PG-13 - Teens 13 or older
188,Gosenzo Sane,6.13,"['Comedy', 'Mystery', 'Supernatural', 'Hentai']",['AIC'],4,Original,,1998,OVA,Rx - Hentai
189,Love Hina,7.09,"['Comedy', 'Romance', 'Ecchi']",['Xebec'],24,Manga,Spring,2000,TV,PG-13 - Teens 13 or older
190,Love Hina Again,7.2,"['Comedy', 'Romance', 'Ecchi']",['Xebec'],3,Manga,,2002,OVA,PG-13 - Teens 13 or older
191,Love Hina Christmas Special: Silent Eve,7.3,"['Comedy', 'Romance']",['Xebec'],1,Manga,,2000,TV Special,PG-13 - Teens 13 or older
192,Love Hina Haru Special: Kimi Sakura Chiru Nakare!!,7.17,"['Adventure', 'Comedy', 'Romance']",['Xebec'],1,Manga,,2001,TV Special,PG-13 - Teens 13 or older
193,Maburaho,6.72,"['Comedy', 'Drama', 'Romance', 'Ecchi']",['J.C.Staff'],24,Light novel,Fall,2003,TV,R+ - Mild Nudity
194,Macross Zero,7.48,"['Action', 'Adventure', 'Sci-Fi']",['Satelight'],5,Original,,2002,OVA,R+ - Mild Nudity
195,Onegai☆Teacher,7.09,"['Drama', 'Romance', 'Sci-Fi']",['Daume'],12,Original,Winter,2002,TV,PG-13 - Teens 13 or older
196,Onegai☆Twins,6.8,"['Comedy', 'Drama', 'Sci-Fi']",['Daume'],12,Original,Summer,2003,TV,PG-13 - Teens 13 or older
197,Rizelmine,6.49,"['Comedy', 'Romance', 'Sci-Fi', 'Ecchi']","['Madhouse', 'Imagin']",24,Manga,Spring,2002,TV,R+ - Mild Nudity
198,Speed Grapher,7.29,"['Action', 'Mystery', 'Suspense']",['Gonzo'],24,Original,Spring,2005,TV,R+ - Mild Nudity
199,Sen to Chihiro no Kamikakushi,8.77,"['Adventure', 'Award Winning', 'Fantasy']",['Studio Ghibli'],1,Original,,2001,Movie,PG - Children
200,Tenshi na Konamaiki,7.42,"['Comedy', 'Romance']",['TMS Entertainment'],50,Manga,Spring,2002,TV,PG-13 - Teens 13 or older
201,Video Girl Ai,7.18,"['Comedy', 'Drama', 'Romance', 'Ecchi']",['Production I.G'],6,Manga,,1992,OVA,R+ - Mild Nudity
202,Wolf's Rain,7.79,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Mystery']",['Bones'],26,Original,Winter,2003,TV,PG-13 - Teens 13 or older
203,Words Worth,6.72,"['Adventure', 'Fantasy', 'Hentai']",['Arms'],5,Visual novel,,1999,OVA,Rx - Hentai
204,Yumeria,6.05,"['Action', 'Comedy', 'Ecchi']",['Studio Deen'],12,Visual novel,Winter,2004,TV,PG-13 - Teens 13 or older
205,Samurai Champloo,8.52,"['Action', 'Adventure', 'Comedy']",['Manglobe'],26,Original,Spring,2004,TV,R - 17+ (violence & profanity)
206,Lodoss-tou Senki: Eiyuu Kishi Den,7.11,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Romance']",['AIC'],27,Novel,Spring,1998,TV,PG-13 - Teens 13 or older
207,Lodoss-tou Senki,7.32,"['Action', 'Adventure', 'Fantasy']",['Madhouse'],13,Light novel,,1990,OVA,R - 17+ (violence & profanity)
208,R.O.D: Read or Die,7.61,"['Action', 'Adventure', 'Mystery', 'Sci-Fi']",['Studio Deen'],3,Light novel,,2001,OVA,PG-13 - Teens 13 or older
209,R.O.D: The TV,7.52,"['Action', 'Adventure', 'Comedy', 'Drama', 'Sci-Fi']",['J.C.Staff'],26,Manga,Fall,2003,TV,R+ - Mild Nudity
210,Ranma ½,7.77,"['Action', 'Comedy', 'Romance', 'Ecchi']",['Studio Deen'],161,Manga,Spring,1989,TV,R+ - Mild Nudity
211,Pure Mail,6.18,['Hentai'],['Datama Film'],2,Visual novel,,2001,OVA,Rx - Hentai
212,Project A-Ko,6.85,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",['APPP'],1,Original,,1986,Movie,PG-13 - Teens 13 or older
213,Pia Carrot e Youkoso!!,5.95,"['Comedy', 'Hentai']",['Triple X'],3,Visual novel,,1997,OVA,Rx - Hentai
214,Pia Carrot e Youkoso!! 2,6.1,"['Comedy', 'Hentai']",['Triple X'],3,Visual novel,,1998,OVA,Rx - Hentai
215,Pia Carrot e Youkoso!! 2 DX,6.2,"['Comedy', 'Romance']",['Garyuu Studio'],6,Visual novel,,1999,OVA,PG-13 - Teens 13 or older
